Series_Title,Released_Year,Genre,IMDB_Rating,language
Bird Box,2018,"Horror, Thriller, Drama",6.832,en
Eegah,1962,"Horror, Science Fiction, Romance",2.7,en
Catwoman,2004,"Action, Fantasy, Crime",4.623,en
Gladiator,2000,"Action, Drama, Adventure",8.22,en
The Final Destination,2009,"Horror, Mystery",5.619,en
Beverly Hills Cop III,1994,"Action, Comedy, Crime",5.87,en
John Wick: Chapter 2,2017,"Action, Thriller, Crime",7.333,en
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Adventure, Fantasy, Action",7.811,en
Hacksaw Ridge,2016,"Drama, History, War",8.193,en
Sonic the Hedgehog 2,2022,"Action, Adventure, Family, Comedy",7.465,en
10 Cloverfield Lane,2016,"Thriller, Science Fiction, Drama, Horror",6.992,en
Glass,2019,"Thriller, Drama, Science Fiction",6.662,en
The Founder,2016,"Drama, History",7.133,en
Cocaine Bear,2023,"Thriller, Comedy, Crime",6.028,en
The Great Wall,2016,"Action, Adventure, Fantasy",6.032,en
Avatar,2009,"Action, Adventure, Fantasy, Science Fiction",7.59,en
Spider-Man,2002,"Action, Science Fiction",7.311,en
The Texas Chain Saw Massacre,1974,Horror,7.277,en
Smile 2,2024,"Horror, Mystery",6.591,en
Spaceballs,1987,"Comedy, Science Fiction",6.843,en
Coco,2017,"Family, Animation, Music, Adventure",8.205,en
"Monsters, Inc.",2001,"Animation, Comedy, Family",7.8,en
Iron Man,2008,"Action, Science Fiction, Adventure",7.652,en
The Holdovers,2023,"Comedy, Drama",7.681,en
Civil War,2024,"War, Action, Drama",6.86,en
Manchester by the Sea,2016,Drama,7.5,en
Jurassic World Dominion,2022,"Adventure, Action, Science Fiction",6.659,en
Joker,2019,"Crime, Thriller, Drama",8.136,en
Forrest Gump,1994,"Comedy, Drama, Romance",8.468,en
The Transporter,2002,"Action, Crime, Thriller",6.709,en
Fifty Shades Freed,2018,"Drama, Romance",6.694,en
Transformers: The Last Knight,2017,"Action, Adventure, Science Fiction",6.056,en
Halloween III: Season of the Witch,1982,"Horror, Science Fiction",5.222,en
Ghost in the Shell,2017,"Science Fiction, Drama, Action",6.092,en
Toy Story 2,1999,"Animation, Comedy, Family",7.599,en
Grown Ups,2010,Comedy,6.395,en
Sound of Freedom,2023,"Action, Drama",7.991,en
Conclave,2024,"Drama, Thriller",7.19,en
Valley Girl,1983,"Comedy, Romance",6.01,en
Big Hero 6,2014,"Adventure, Family, Animation, Action, Comedy",7.729,en
Stand by Me,1986,"Crime, Drama",7.855,en
Scarface,1983,"Action, Crime, Drama",8.162,en
Godzilla x Kong: The New Empire,2024,"Action, Adventure, Science Fiction",7.088,en
Hellraiser,2022,"Horror, Mystery",6.2,en
Frozen,2013,"Animation, Family, Adventure, Fantasy",7.247,en
The Lego Batman Movie,2017,"Animation, Action, Comedy, Family",7.226,en
How to Train Your Dragon: Homecoming,2019,"Animation, Fantasy, Adventure, Action, Family",8.032,en
Never Say Never Again,1983,"Adventure, Action, Thriller",6.048,en
The Karate Kid,1984,"Action, Adventure, Drama, Family",7.202,en
The Suicide Squad,2021,"Action, Comedy, Adventure",7.486,en
The Beekeeper,2024,"Action, Crime, Thriller",7.305,en
Mulan,2020,"Adventure, Fantasy, Action",6.861,en
Richard Jewell,2019,Drama,7.426,en
It,2017,"Horror, Thriller",7.237,en
Scream 2,1997,"Horror, Mystery",6.498,en
Alien,1979,"Horror, Science Fiction",8.164,en
The Lord of the Rings: The Return of the King,2003,"Adventure, Fantasy, Action",8.485,en
Kingdom of the Planet of the Apes,2024,"Science Fiction, Adventure, Action, Drama, Thriller",7.07,en
Whiplash,2014,"Drama, Music",8.378,en
Fury,2014,"War, Drama, Action",7.539,en
Blade,1998,"Horror, Action",6.807,en
Black Widow,2021,"Action, Adventure, Science Fiction",7.204,en
Ghostbusters: Afterlife,2021,"Fantasy, Comedy, Adventure, Science Fiction",7.344,en
10 Things I Hate About You,1999,"Comedy, Romance, Drama",7.595,en
Furiosa: A Mad Max Saga,2024,"Action, Science Fiction, Adventure",7.476,en
Dirty Angels,2024,"Action, Drama, Thriller, War",6.269,en
Migration,2023,"Animation, Adventure, Comedy, Family",7.4,en
Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family, Fantasy",7.042,en
28 Weeks Later,2007,"Horror, Thriller, Science Fiction",6.621,en
The Garfield Movie,2024,"Family, Comedy, Adventure, Animation",7.054,en
Inglourious Basterds,2009,"Drama, Thriller, War",8.215,en
Jurassic World,2015,"Action, Adventure, Science Fiction, Thriller",6.695,en
Assassin's Creed,2016,"Action, Adventure, Science Fiction",5.43,en
Tangled,2010,"Animation, Family, Adventure",7.609,en
Girl in the Basement,2021,"Thriller, Crime, TV Movie",7.626,en
The Godfather Part II,1974,"Drama, Crime",8.571,en
Top Gun,1986,"Action, Drama",7.061,en
Heat,1995,"Crime, Drama, Action",7.92,en
The Lord of the Rings: The War of the Rohirrim,2024,"Animation, Fantasy, Adventure, Action",6.631,en
Shrek 2,2004,"Animation, Family, Comedy, Fantasy, Adventure",7.296,en
The Green Mile,1999,"Fantasy, Drama, Crime",8.506,en
The Hobbit: The Battle of the Five Armies,2014,"Action, Adventure, Fantasy",7.325,en
The Dressmaker,2015,"Drama, Comedy, Western",7.002,en
Elevation,2024,"Action, Science Fiction, Thriller",6.477,en
Donnie Darko,2001,"Fantasy, Drama, Mystery",7.771,en
A Quiet Place,2018,"Horror, Drama, Science Fiction",7.398,en
Ice Age,2002,"Animation, Comedy, Family, Adventure",7.362,en
Below Her Mouth,2017,"Drama, Romance",6.799,en
Cinderella,2015,"Romance, Fantasy, Family, Drama",6.8,en
Wonder Woman,2017,"Action, Adventure, Fantasy",7.217,en
John Wick,2014,"Action, Thriller",7.446,en
